,zip1,zip1_value,zip2,zip2_value
650,10310,0.0,10152,0.0
651,10310,25.0,10039,56.0
652,10310,10.0,10121,4.0
653,10310,10.0,11413,24.0
654,10310,11.0,10473,131.0
655,10310,18.0,10454,187.0
656,10310,10.0,11694,6.0
657,10310,17.0,11358,22.0
658,10310,9.0,11421,225.0
659,10310,0.0,11412,0.0
660,10310,17.0,11417,18.0
661,10310,12.0,11427,21.0
662,10310,42.0,11374,102.0
663,10310,0.0,10096,0.0
664,10310,10.0,10037,115.0
665,10310,16.0,10475,69.0
666,10310,24.0,11225,56.0
667,10310,15.0,10107,14.0
668,10310,0.0,11251,0.0
669,10310,10.0,11436,194.0
670,10310,20.0,11356,17.0
671,10310,1.0,11697,1.0
672,10310,0.0,10172,0.0
673,10310,11.0,10470,15.0
674,10310,0.0,10041,0.0
675,10310,2.0,10278,1.0
676,10310,0.0,10106,0.0
677,10310,10.0,11428,2.0
678,10310,10.0,10286,2.0
679,10310,5.0,10279,4.0
680,10310,0.0,10103,0.0
681,10310,0.0,10196,0.0
682,10310,0.0,10154,0.0
683,10310,15.0,10119,13.0
684,10310,10.0,10464,19.0
685,10310,10.0,10166,4.0
686,10310,0.0,10203,0.0
687,10310,0.0,11359,0.0
688,10310,0.0,10177,0.0
689,10310,0.0,11692,0.0
690,10310,11.0,11423,5.0
691,10310,0.0,10175,0.0
692,10310,18.0,11419,27.0
693,10310,1.0,10285,4.0
694,10310,0.0,10045,0.0
695,10310,15.0,10270,15.0
696,10310,0.0,10123,0.0
697,10310,0.0,11005,0.0
698,10310,0.0,10170,0.0
699,10310,0.0,10115,0.0
700,10310,15.0,10104,12.0
701,10310,2.0,11363,4.0
702,10310,0.0,10105,0.0
703,10310,10.0,10120,24.0
704,10310,0.0,10265,0.0
705,10310,0.0,10259,0.0
706,10310,11.0,11004,9.0
707,10310,0.0,10112,0.0
708,10310,0.0,10047,0.0
709,10310,0.0,10122,0.0
710,10310,0.0,10110,0.0
711,10310,0.0,10080,0.0
712,10310,0.0,10271,0.0
713,10310,7.0,11001,3.0
714,10310,0.0,10055,0.0
715,10310,0.0,10168,0.0
716,10310,0.0,10081,0.0
717,10310,0.0,10173,0.0
718,10310,0.0,10158,0.0
719,10310,1.0,10176,1.0
720,10310,0.0,10171,0.0
721,10310,0.0,10178,0.0
722,10310,0.0,10151,0.0
723,11209,1807.0,11209,1807.0
724,11209,261.0,10301,154.0
725,11209,598.0,11232,333.0
726,11209,727.0,11214,316.0
727,11209,350.0,11224,134.0
728,11209,354.0,10314,782.0
729,11209,315.0,11430,145.0
730,11209,289.0,11361,64.0
731,11209,304.0,11432,198.0
732,11209,251.0,11233,45.0
733,11209,368.0,11373,342.0
734,11209,197.0,11691,12.0
735,11209,289.0,11377,284.0
736,11209,200.0,11223,78.0
737,11209,212.0,11237,138.0
738,11209,278.0,11212,99.0
739,11209,205.0,11206,88.0
740,11209,214.0,11360,50.0
741,11209,355.0,11372,186.0
742,11209,183.0,11104,24.0
743,11209,259.0,11207,82.0
